danceability,energy,acousticness,instrumentalness,valence,id
0.705,0.867,0.0711,0,0.965,03DcpryHcONqKi2uKXK5Ow
0.691,0.631,0.0483,1.13e-05,0.8,086myS9r57YsLbJpU0TgK9
0.668,0.48,0.165,0.0139,0.4,09PZuKctf7D3RAdaegN7zu
0.549,0.981,0.0178,1.8e-06,0.873,0C9jZPUv4SuaXkuEQw6L40
0.392,0.964,7.13e-05,0.0387,0.269,0faXHILILebCGnJBPU6KJJ
0.527,0.653,0.00201,1.41e-05,0.608,0oHTvb0EVeYTUc0zscZphb
0.515,0.479,0.544,0.00598,0.284,0rKtyWc8bvkriBthvHKY8d
0.599,0.553,0.488,0,0.572,0xu3PasKYiRNedJOnRBkJA
0.625,0.732,0.0126,0,0.198,1bFSitBqVkOrZ5geYAHEKX
0.517,0.883,7.57e-05,0,0.585,1K0Mvug9bSd7KqjAPK5CnG
0.344,0.741,0.714,0.0185,0.459,1NcXVKZFIQd9J8Y74ls6Xp
0.527,0.529,0.255,0.00324,0.547,1QxjdVgVrqRRuPM4T0dgWx
0.672,0.588,0.619,0.241,0.204,1VGzxJnVQND7Cg5H5wGj14
0.602,0.923,0.0098,0,0.765,1yjY7rpaAQvKwpdUliHx0d
0.772,0.616,0.0494,0,0.562,20rg6HNd837eX34TA5tEVf
0.671,0.373,0.257,8.01e-05,0.732,2374M0fQpWi3dLnB54qaLX
0.63,0.901,0.152,0,0.838,2cY3YDf9AQl2DuocD0JYf0
0.671,0.712,0.429,0,0.462,2fuCquhmrzHpu5xcA1ci9x
0.71,0.872,0.0368,0.00485,0.741,2GCR5b8UkMN2QtBMtfMvZQ
0.711,0.292,0.313,0,0.194,2M9ro2krNb7nr7HSprkEgo
0.307,0.606,0.0927,0,0.11,2MbgQKWhoii8bqsMBWWWgA
0.542,0.828,0.00175,0.0133,0.769,2OvYRK5xu5APpAbLaB3l7b
0.71,0.712,0.541,0,0.739,2pMVkGu7SomhwZwufGOPda
0.54,0.417,0.665,0,0.543,2rUXZPyYkMvncJ7jkbOmd2
0.543,0.842,0.0986,0,0.3,348rUXIKEw4DYw7R0oIYNu
0.535,0.948,0.00225,0,0.778,3DQVgcqaP3iSMbaKsd57l5
0.715,0.624,0.11,0,0.412,3HWzoMvoF3TQfYg4UPszDq
0.658,0.814,0.229,0.00676,0.69,3MjrueDQKVr6xDDseZwhEd
0.746,0.89,0.225,0,0.961,3mvVb3dFiHyXG86N3gVYja
0.819,0.705,0.138,0,0.979,3o863oLzV4qj53EBCtEAqz
0.39,0.31,0.794,0,0.584,3RkQ3UwOyPqpIiIvGVewuU
0.813,0.643,0.201,4.13e-06,0.89,3Sa4wFRcNP1uNzwQA6cVgS
0.463,0.482,0.295,0,0.131,3yWWNB1ESnafJRbTXOJ3sI
0.847,0.608,0.511,0,0.707,406GxF9gnDjRwsy5wqLpOh
0.661,0.833,0.439,0,0.566,40zK7MICeyHNNWyOrUU0sC
0.702,0.825,0.00883,0,0.915,463CkQjx2Zk1yXoBuierM9
0.5,0.748,0.127,0,0.514,4bHsxqR3GMrXTxEPLuK5ue
0.712,0.878,0.0849,4.5e-05,0.976,4iTXVDvJIcFtSqvshO4JPA
0.601,0.773,0.122,0.00245,0.675,54PKGOlUPA4NXGQYnWxz9K
0.641,0.617,0.0156,6.72e-06,0.823,5bSY17Hl7P9ztiKCTyLz4a
0.57,0.482,0.337,0,0.334,5DWZX4piXraq1IOr2a4sBL
0.553,0.853,0.000684,0,0.506,5eFxwmqKrHpSQDOEIFYlgY
0.552,0.638,0.387,0.00014,0.332,5F1ZmucV0uJY14y2dYKePa
0.477,0.342,0.304,0,0.346,5kKme9GCKnjKWC16Lb8cER
0.633,0.81,0.0997,1.91e-06,0.665,5RnhWaP5VD3eJN3J0chPmh
0.7,0.864,0.0212,0,0.887,5rX6C5QVvvZB7XckETNych
0.66,0.722,0.0474,4.67e-06,0.465,5W9Qlj971vEzgfVHxiUCkT
0.549,0.636,0.0858,0,0.364,5X0UESDGqxNkFIbgtZU0sc
0.406,0.952,6.72e-06,0.0252,0.534,5xetBdYzklZ71hbHjXb4Zf
0.546,0.681,0.0726,0,0.501,5yvN1r8skR9fE5jqNgsCox
0.698,0.858,0.0944,0.000282,0.856,6corIIuvWjaVslSyYoXGuR
0.398,0.826,0.587,0,0.388,6hWXe5KsRygkMO5MOvk7W4
0.625,0.498,0.752,0,0.546,6J2R4mMoDfb5NQMDuV0nWq
0.526,0.545,0.0118,8.93e-06,0.676,6Ks2OC8Hydb60EiBqJdoiW
0.442,0.943,0.00293,8.71e-06,0.781,6L89mwZXSOwYl76YXfX13s
0.447,0.72,0.0416,0.000297,0.362,6p8eEdiZLKJH8tcjGZuNTK
0.76,0.942,0.114,1.56e-05,0.894,75r8RynXHLGJPLw8CY87zh
0.434,0.844,0.0318,3.31e-06,0.432,7aewPE2qqi9OlnG4HSDZnO
0.593,0.692,0.218,3.74e-06,0.621,7f6Bkdh4flhzfeUcMeuBjY
0.721,0.896,0.144,3.49e-06,0.929,7jbmHNja5Ifm14GCKa3CFO
